회사명,사업연도,원본파일,부채비율,자기자본비율,유동비율,당좌비율,차입금의존도,영업이익률,순이익률,ROA_총자산수익률,ROE_자기자본수익률,EBITDA_마진,총자산회전율,자기자본회전율,영업현금흐름_매출비,영업현금흐름_부채상환비,DSCR_근사,이자보상배율,금융비용_매출비,영업수익_원본,영업이익_원본,당기순이익_원본,자산총계_원본,부채총계_원본,자본총계_원본,이자비용_원본,감가상각비_원본,무형자산상각비_원본,순부채,고정장기적합률,유동성지표
[È_¼º±¤ÁÖ°í¼Óµµ·Î]°¨»çº¸°í¼_(,2024,[È_¼º±¤ÁÖ°í¼Óµµ·Î]°¨»çº¸°í¼_(2025.04.01).pdf,16.048773584266705,0.05865524549653473,0.5411241507448201,0.5411241507448201,0.8727686347849386,0.40319008158495084,-0.31902135561747214,-0.02759370361475549,-0.4704388052793281,0.8161330249434989,0.086494847849127,1.4746310771853643,0.20549860827319477,0.018882105382499268,1.1249771852934263,0.5557668042548166,0.7254662899946972,59788640046,24106186658,-19073852998,691239322720,650694510549,40544812171,43374642878,459421000,24229876000,650694510549,1.0337847523996855,-0.031467925174463805
[Á¦ÀÌ¿µµ¿°í¼Óµµ·Î][Á¤Á¤]°¨»çº¸°í¼_(,2019,[Á¦ÀÌ¿µµ¿°í¼Óµµ·Î][Á¤Á¤]°¨»çº¸°í¼_(2020.04.13).pdf,9.022394119796992,0.09977655917808344,0.38223228824242855,0.38223228824242855,0.8316959545951584,0.2661339369898772,-0.6389510050826209,-0.04566346063643962,-0.45765719937223387,0.7803712484292337,0.07146629440004561,0.7162633687586978,0.09913332546868167,0.007869925511306304,0.8619231549725853,0.2939459943934514,0.905383785001175,73313422864,19511189861,-46843685225,1025846148586,923490749634,102355398952,66376784284,424001007,37276496459,923490749634,1.0413032091988923,-0.03871478504622034
[Á¦ÀÌ¿µµ¿°í¼Óµµ·Î][Á¤Á¤]°¨»çº¸°í¼_(,2020,[Á¦ÀÌ¿µµ¿°í¼Óµµ·Î][Á¤Á¤]°¨»çº¸°í¼_(2021.04.01).pdf,17.469425132138433,0.05414353683699183,0.2780283882354377,0.2780283882354377,0.8577624327436344,0.2809313178372084,-0.7057583824686923,-0.0496532147985034,-0.9170663332909467,0.8239546855370777,0.07035441027964841,1.299405513375717,0.10804529514027432,0.008036592568881704,0.834620572436633,0.2845679033378316,0.9872206757755602,69377447933,19490297876,-48963715433,986113701433,932722017914,53391683519,68490851032,397354627,37276220792,932722017914,1.0646774655921554,-0.05935975191799635
[Á¦ÀÌ¿µµ¿°í¼Óµµ·Î]°¨»çº¸°í¼_(,2021,[Á¦ÀÌ¿µµ¿°í¼Óµµ·Î]°¨»çº¸°í¼_(2022.03.31).pdf,314.3785260480599,0.003170792927885052,0.23078207293568043,0.23078207293568043,0.8831022428986385,0.2979492959180632,-0.6916621630715494,-0.05305486856766527,-16.732366248543812,0.8143323114133033,0.0767063335256883,24.191530405882453,0.11962650711193919,0.009205298849532697,0.8225238137761565,0.3009464167829929,0.9900410149522036,72840055138,21702643143,-50380710095,949596360431,946585387007,3010973424,72114642118,337146529,37276220792,946585387007,1.0929910929194209,-0.08296180400927765
[Á¦ÀÌ¿µµ¿°í¼Óµµ·Î]°¨»çº¸°í¼_(,2022,[Á¦ÀÌ¿µµ¿°í¼Óµµ·Î]°¨»çº¸°í¼_(2023.03.28).pdf,-19.76499084835,-0.05329072676248759,0.20360168903958947,0.20360168903958947,0.9046077027611436,0.3145774406299619,-0.6938699220407,-0.056580401853764395,1.0617307229818542,0.8143637641567391,0.08154324039203069,-1.53015815970126,0.1312263072387129,0.010159225791169227,0.8067750971976079,0.31164604371022225,1.0094061740198612,74634887311,23478451832,-51786903440,915279880370,964055810386,-48775930016,75336916049,25275140,37276220796,964055810386,1.13270063497392,-0.11374736998579436
[Á¦ÀÌ¿µµ¿°í¼Óµµ·Î]°¨»çº¸°í¼_(,2023,[Á¦ÀÌ¿µµ¿°í¼Óµµ·Î]°¨»çº¸°í¼_(2024.04.04).pdf,-9.67116275502836,-0.11532478725763802,0.17377511500185566,0.17377511500185566,0.9294775102448467,0.3434883007729459,-0.6599273841868487,-0.05984311590742465,0.5189093978013058,0.8111955000215176,0.09068136486132079,-0.7863128735606224,0.14991369986678954,0.012188717645876729,0.8061207380255282,0.3413394705898602,1.006295287736201,79721244847,27383314928,-52610232576,879135916943,980522079535,-101386162592,80223113022,9979352,37276220796,980522079535,1.1813721093779048,-0.14872429259817999
[Á¦ÀÌ¿µµ¿°í¼Óµµ·Î]°¨»çº¸°í¼_(,2024,[Á¦ÀÌ¿µµ¿°í¼Óµµ·Î]°¨»çº¸°í¼_(2025.03.31).pdf,-6.660557991126542,-0.1766610291012996,0.15942012141195086,0.15942012141195086,0.9531589792908215,0.40506832131266984,-0.5444186494927199,-0.056494302477339386,0.3197892753412235,0.8312417715559509,0.10376996182988923,-0.5873958866750757,0.16691700749999894,0.014720442904668554,0.8723713845473724,0.42511098983676177,0.952853092478771,87552008096,35464544947,-47664946008,843712443872,992763552472,-149051108600,83424201667,36120570,37276220796,992763552472,1.2339227968347724,-0.18299702798317813
[제이영동고속도로],2025,[제이영동고속도로]감사보고서(2026.03.30).pdf,-4.981948498592234,-0.2511333334304894,0.12710355140020127,0.12710355140020127,0.9734797904898863,0.36237941247031846,-0.5859685486567682,-0.06600995251447472,0.2628482313071573,0.7745323520734756,0.11265101628029552,-0.448570545142212,0.21142252599935882,0.01903631034517409,0.8137737274520426,0.3807392221233869,0.9517785177196204,90700368470,32867946237,-53147563275,805144697890,1007343369765,-202198671875,86326662259,106202692,37276220796,1007343369765,1.3258971244226925,-0.237300606976242
[½Å´ë±¸ºÎ»ê°í¼Óµµ·Î]°¨»çº¸°í¼_(,2019,[½Å´ë±¸ºÎ»ê°í¼Óµµ·Î]°¨»çº¸°í¼_(2020.04.07).pdf,,,1.6122729896785315,1.6122729896785315,,0.6788274245250137,0.03718560086026601,,,0.8920596692265038,,,0.3698971233529038,,1.3593088969141265,1.0343883816945219,0.6562597149563563,270699482303,183758232392,10066122902,,,,177649165095,2062720148,55659138103,0,,
[½Å´ë±¸ºÎ»ê°í¼Óµµ·Î]°¨»çº¸°í¼_(,2020,[½Å´ë±¸ºÎ»ê°í¼Óµµ·Î]°¨»çº¸°í¼_(2021.04.05).pdf,,,0.9594852373248939,0.9594852373248939,,0.6541737779245389,-0.23341190912492554,,,0.8628092643552949,,,0.3685405790230574,,1.2777818044379092,0.9688020109484721,0.6752399050907137,273235642916,178743592790,-63776453054,,,,184499609590,1362495000,55644156270,0,,
[½Å´ë±¸ºÎ»ê°í¼Óµµ·Î]°¨»çº¸°í¼_(,2021,[½Å´ë±¸ºÎ»ê°í¼Óµµ·Î]°¨»çº¸°í¼_(2022.03.30).pdf,,,1.3845701486664295,1.3845701486664295,,0.7945614179325631,0.3464758172740665,,,0.9158597847128023,,,0.4480103791234845,,2.2076719402293357,1.9152832960218014,0.4148532071380414,465866217625,370159322443,161411378492,,,,193266094479,841030336,55667781000,0,,
